Layer,Disputed_Amount,Primary_Amount,Txn_Day,Txn_Month,Txn_Hour,Txn_DayOfWeek,Txn_IsWeekend,Is_Disputed,Dispute_Ratio,Is_Full_Dispute,Sheet_Money Transfer to,Sheet_Other,Sheet_Others Less Then 500,Sheet_Transaction put on hold,Sheet_Withdrawal through ATM,Action_By_Bank_Code,Is_HighValue,Is_DeepChain,Amount_Gap,Txn_IsNight,Is_HoldTxn,Is_MoneyTransfer,is_fraud
4,818.4,23.88,23,3,10,0,0,1,34.2714,0,0,0,0,1,0,41,0,1,0.0,0,1,0,0
4,150.0,150.0,26,12,21,4,0,1,1.0,1,1,0,0,0,0,31,0,1,0.0,0,0,1,0
6,1000.0,1044.0,13,1,17,1,0,1,0.9579,0,1,0,0,0,0,1,0,1,44.0,0,0,1,0
3,998.49,1000.0,25,12,3,3,0,1,0.9985,0,1,0,0,0,0,10,0,1,1.509999999999991,1,0,1,0
4,241.0,241.5,5,1,0,0,0,1,0.9979,0,1,0,0,0,0,16,0,1,0.5,1,0,1,1
3,6800.0,6800.0,20,1,0,1,0,1,1.0,1,1,0,0,0,0,5,0,1,0.0,1,0,1,0
4,818.4,800.0,26,2,11,3,0,1,1.023,0,0,0,0,1,0,41,0,1,0.0,0,1,0,0
4,2700.0,5000.0,2,1,21,4,0,1,0.54,0,1,0,0,0,0,43,0,1,2300.0,0,0,1,0
4,1352.85,2000.0,6,1,14,1,0,1,0.6764,0,1,0,0,0,0,56,0,1,647.1500000000001,0,0,1,0
4,818.4,1267.9,7,1,18,2,0,1,0.6455,0,0,0,0,1,0,78,0,1,449.5000000000001,0,1,0,0
4,500.0,500.0,26,1,18,0,0,1,1.0,1,1,0,0,0,0,18,0,1,0.0,0,0,1,1
5,999.56,999.56,27,12,15,5,1,1,1.0,1,1,0,0,0,0,18,0,1,0.0,0,0,1,1
5,1000.0,34000.0,3,1,0,5,1,1,0.0294,0,1,0,0,0,0,11,1,1,33000.0,1,0,1,0
4,1000.0,1000.0,5,1,13,0,0,1,1.0,1,1,0,0,0,0,41,0,1,0.0,0,0,1,0
4,818.4,2241.0,6,3,12,4,0,1,0.3652,0,0,0,0,1,0,10,0,1,1422.6,0,1,0,0
6,818.4,2000.0,4,1,15,6,1,1,0.4092,0,1,0,0,0,0,56,0,1,1181.6,0,0,1,1
4,1000.0,1000.0,17,2,10,1,0,1,1.0,1,1,0,0,0,0,95,0,1,0.0,0,0,1,1
4,818.4,479.0,2,3,0,0,0,1,1.7086,0,0,0,0,1,0,9,0,1,0.0,1,1,0,0
5,550.0,550.0,5,1,19,0,0,1,1.0,1,1,0,0,0,0,63,0,1,0.0,0,0,1,1
4,818.4,208.0,27,12,0,5,1,1,3.9346,0,0,0,0,1,0,43,0,1,0.0,1,1,0,0
6,1407.78,4000.0,7,1,9,2,0,1,0.3519,0,1,0,0,0,0,18,0,1,2592.2200000000003,0,0,1,0
4,818.4,9.17,26,1,0,0,0,1,89.2475,0,0,0,0,1,0,1,0,1,0.0,1,1,0,0
7,1890.0,22000.0,27,1,10,1,0,1,0.0859,0,1,0,0,0,0,6,1,1,20110.0,0,0,1,1
9,1200.0,30000.0,15,1,0,3,0,1,0.04,0,1,0,0,0,0,97,1,1,28800.0,1,0,1,0
5,162.44,500.0,8,2,6,6,1,1,0.3249,0,1,0,0,0,0,10,0,1,337.56,0,0,1,0
4,818.4,81.46,6,3,0,4,0,1,10.0466,0,0,0,0,1,0,36,0,1,0.0,1,1,0,0
8,326.0,951.0,11,1,16,6,1,1,0.3428,0,1,0,0,0,0,34,0,1,625.0,0,0,1,0
3,500.0,500.0,27,12,17,5,1,1,1.0,1,1,0,0,0,0,6,0,1,0.0,0,0,1,0
4,818.4,964.0,26,1,0,0,0,1,0.849,0,0,0,1,0,0,50,0,1,145.60000000000002,1,0,0,0
4,818.4,964.0,26,1,0,0,0,1,0.849,0,0,0,1,0,0,38,0,1,145.60000000000002,1,0,0,1
5,3157.1,3157.1,19,2,17,3,0,1,1.0,1,1,0,0,0,0,78,0,1,0.0,0,0,1,1
9,385.58,3320.0,26,1,2,0,0,1,0.1161,0,1,0,0,0,0,14,0,1,2934.42,1,0,1,0
